#\delta	Number of cells	Cumulative
0.14600	1439	10828325
0.14800	1353	10829678
0.15000	1323	10831001
0.15200	1382	10832383
0.15400	1442	10833825
0.15600	1368	10835193
0.15800	1378	10836571
0.16000	1349	10837920
0.16200	1282	10839202
0.16400	1332	10840534
0.16600	1412	10841946
0.16800	1337	10843283
0.17000	1272	10844555
0.17200	1327	10845882
0.17400	1263	10847145
0.17600	1268	10848413
0.17800	1222	10849635
0.18000	1228	10850863
0.18200	1240	10852103
0.18400	1224	10853327
0.18600	1222	10854549
0.18800	1196	10855745
0.19000	1224	10856969
0.19200	1166	10858135
0.19400	1120	10859255
0.19600	1169	10860424
0.19800	1120	10861544
0.20000	1238	10862782
0.20200	1157	10863939
0.20400	1125	10865064
0.20600	1133	10866197
0.20800	1008	10867205
0.21000	1072	10868277
0.21200	1074	10869351
0.21400	1091	10870442
0.21600	1122	10871564
0.21800	1049	10872613
0.22000	1026	10873639
0.22200	1044	10874683
0.22400	1057	10875740
0.22600	1007	10876747
0.22800	1022	10877769
0.23000	1001	10878770
0.23200	1019	10879789
0.23400	971	10880760
0.23600	1037	10881797
0.23800	1000	10882797
0.24000	962	10883759
0.24200	921	10884680
0.24400	942	10885622
0.24600	949	10886571
0.24800	885	10887456
0.25000	949	10888405
0.25200	936	10889341
0.25400	969	10890310
0.25600	883	10891193
0.25800	951	10892144
0.26000	888	10893032
0.26200	849	10893881
0.26400	898	10894779
0.26600	893	10895672
0.26800	882	10896554
0.27000	827	10897381
0.27200	837	10898218
0.27400	823	10899041
0.27600	789	10899830
0.27800	857	10900687
0.28000	838	10901525
0.28200	855	10902380
0.28400	821	10903201
0.28600	777	10903978
0.28800	789	10904767
0.29000	801	10905568
0.29200	757	10906325
0.29400	724	10907049
0.29600	742	10907791
0.29800	756	10908547
0.30000	716	10909263
0.30200	726	10909989
0.30400	733	10910722
0.30600	741	10911463
0.30800	699	10912162
0.31000	698	10912860
0.31200	689	10913549
0.31400	722	10914271
0.31600	716	10914987
0.31800	686	10915673
0.32000	694	10916367
0.32200	673	10917040
0.32400	692	10917732
0.32600	710	10918442
0.32800	651	10919093
0.33000	680	10919773
0.33200	631	10920404
0.33400	673	10921077
0.33600	648	10921725
0.33800	622	10922347
0.34000	617	10922964
0.34200	643	10923607
0.34400	590	10924197
0.34600	629	10924826
0.34800	629	10925455
0.35000	592	10926047
0.35200	583	10926630
0.35400	601	10927231
0.35600	650	10927881
