#\delta	Number of cells	Cumulative
2.09750	831	334630
2.10275	837	335467
2.10800	822	336289
2.11325	793	337082
2.11850	824	337906
2.12375	828	338734
2.12900	833	339567
2.13425	857	340424
2.13950	806	341230
2.14475	850	342080
2.15000	830	342910
2.15525	815	343725
2.16050	844	344569
2.16575	857	345426
2.17100	826	346252
2.17625	790	347042
2.18150	842	347884
2.18675	871	348755
2.19200	876	349631
2.19725	844	350475
2.20250	874	351349
2.20775	795	352144
2.21300	857	353001
2.21825	825	353826
2.22350	847	354673
2.22875	820	355493
2.23400	859	356352
2.23925	868	357220
2.24450	869	358089
2.24975	815	358904
2.25500	896	359800
2.26025	842	360642
2.26550	900	361542
2.27075	856	362398
2.27600	820	363218
2.28125	859	364077
2.28650	819	364896
2.29175	810	365706
2.29700	814	366520
2.30225	854	367374
2.30750	846	368220
2.31275	901	369121
2.31800	820	369941
2.32325	833	370774
2.32850	871	371645
2.33375	795	372440
2.33900	838	373278
2.34425	875	374153
2.34950	839	374992
2.35475	883	375875
2.36000	796	376671
2.36525	828	377499
2.37050	875	378374
2.37575	849	379223
2.38100	797	380020
2.38625	813	380833
2.39150	792	381625
2.39675	838	382463
2.40200	902	383365
2.40725	857	384222
2.41250	866	385088
2.41775	858	385946
2.42300	864	386810
2.42825	851	387661
2.43350	842	388503
2.43875	853	389356
2.44400	839	390195
2.44925	764	390959
2.45450	879	391838
2.45975	866	392704
2.46500	815	393519
2.47025	818	394337
2.47550	803	395140
2.48075	784	395924
2.48600	800	396724
2.49125	781	397505
2.49650	863	398368
2.50175	796	399164
2.50700	856	400020
2.51225	845	400865
2.51750	840	401705
2.52275	840	402545
2.52800	827	403372
2.53325	799	404171
2.53850	825	404996
2.54375	812	405808
2.54900	781	406589
2.55425	854	407443
2.55950	870	408313
2.56475	836	409149
2.57000	822	409971
2.57525	861	410832
2.58050	882	411714
2.58575	789	412503
2.59100	822	413325
2.59625	788	414113
2.60150	816	414929
2.60675	831	415760
2.61200	801	416561
2.61725	798	417359
2.62250	829	418188
2.62775	830	419018
2.63300	835	419853
2.63825	811	420664
2.64350	835	421499
2.64875	825	422324
2.65400	835	423159
2.65925	789	423948
2.66450	811	424759
2.66975	791	425550
2.67500	888	426438
2.68025	818	427256
2.68550	806	428062
2.69075	824	428886
2.69600	791	429677
2.70125	821	430498
2.70650	828	431326
2.71175	842	432168
2.71700	837	433005
2.72225	793	433798
2.72750	819	434617
2.73275	823	435440
2.73800	851	436291
2.74325	856	437147
2.74850	839	437986
2.75375	826	438812
2.75900	849	439661
2.76425	845	440506
2.76950	826	441332
2.77475	831	442163
2.78000	809	442972
2.78525	818	443790
2.79050	798	444588
2.79575	823	445411
2.80100	827	446238
2.80625	860	447098
2.81150	834	447932
2.81675	815	448747
2.82200	805	449552
2.82725	778	450330
2.83250	792	451122
2.83775	759	451881
2.84300	824	452705
2.84825	795	453500
2.85350	735	454235
2.85875	755	454990
2.86400	784	455774
2.86925	773	456547
2.87450	802	457349
2.87975	785	458134
2.88500	803	458937
2.89025	834	459771
2.89550	775	460546
2.90075	774	461320
2.90600	816	462136
2.91125	778	462914
2.91650	781	463695
2.92175	786	464481
2.92700	780	465261
2.93225	816	466077
2.93750	787	466864
2.94275	767	467631
2.94800	811	468442
2.95325	784	469226
2.95850	784	470010
2.96375	750	470760
2.96900	733	471493
2.97425	773	472266
2.97950	821	473087
2.98475	781	473868
2.99000	728	474596
2.99525	774	475370
3.00050	794	476164
3.00575	784	476948
3.01100	744	477692
3.01625	772	478464
3.02150	756	479220
3.02675	821	480041
3.03200	782	480823
3.03725	786	481609
3.04250	740	482349
3.04775	765	483114
3.05300	802	483916
3.05825	797	484713
3.06350	806	485519
3.06875	780	486299
3.07400	689	486988
3.07925	774	487762
3.08450	814	488576
3.08975	735	489311
3.09500	763	490074
3.10025	803	490877
3.10550	736	491613
3.11075	791	492404
3.11600	748	493152
3.12125	764	493916
3.12650	776	494692
3.13175	736	495428
3.13700	780	496208
3.14225	758	496966
3.14750	830	497796
3.15275	769	498565
3.15800	801	499366
3.16325	762	500128
3.16850	729	500857
3.17375	720	501577
3.17900	770	502347
3.18425	709	503056
3.18950	754	503810
3.19475	751	504561
3.20000	743	505304
3.20525	728	506032
3.21050	682	506714
3.21575	752	507466
3.22100	757	508223
3.22625	768	508991
3.23150	774	509765
3.23675	700	510465
3.24200	754	511219
3.24725	767	511986
3.25250	741	512727
3.25775	754	513481
3.26300	706	514187
3.26825	689	514876
3.27350	713	515589
3.27875	757	516346
3.28400	716	517062
3.28925	732	517794
3.29450	724	518518
3.29975	704	519222
3.30500	742	519964
3.31025	726	520690
3.31550	690	521380
3.32075	719	522099
3.32600	722	522821
3.33125	692	523513
3.33650	733	524246
3.34175	784	525030
3.34700	752	525782
3.35225	696	526478
3.35750	677	527155
3.36275	736	527891
3.36800	709	528600
3.37325	704	529304
3.37850	707	530011
3.38375	695	530706
3.38900	776	531482
3.39425	711	532193
3.39950	743	532936
3.40475	698	533634
3.41000	692	534326
3.41525	715	535041
3.42050	689	535730
3.42575	672	536402
3.43100	729	537131
3.43625	730	537861
3.44150	701	538562
3.44675	703	539265
3.45200	709	539974
3.45725	699	540673
3.46250	727	541400
3.46775	707	542107
3.47300	698	542805
3.47825	698	543503
3.48350	694	544197
3.48875	720	544917
3.49400	662	545579
3.49925	684	546263
3.50450	728	546991
3.50975	681	547672
3.51500	664	548336
3.52025	714	549050
3.52550	642	549692
3.53075	716	550408
3.53600	641	551049
3.54125	705	551754
3.54650	667	552421
3.55175	645	553066
3.55700	636	553702
3.56225	680	554382
3.56750	638	555020
3.57275	664	555684
3.57800	696	556380
3.58325	608	556988
3.58850	703	557691
3.59375	705	558396
3.59900	640	559036
3.60425	693	559729
3.60950	611	560340
3.61475	650	560990
3.62000	665	561655
3.62525	700	562355
3.63050	645	563000
3.63575	692	563692
3.64100	670	564362
3.64625	676	565038
3.65150	667	565705
3.65675	662	566367
3.66200	678	567045
3.66725	676	567721
3.67250	674	568395
3.67775	679	569074
3.68300	718	569792
3.68825	648	570440
3.69350	651	571091
3.69875	684	571775
3.70400	669	572444
3.70925	644	573088
3.71450	661	573749
3.71975	695	574444
3.72500	677	575121
3.73025	650	575771
3.73550	651	576422
3.74075	663	577085
3.74600	627	577712
3.75125	647	578359
3.75650	696	579055
3.76175	641	579696
3.76700	614	580310
3.77225	640	580950
3.77750	662	581612
