#\delta	Number of cells	Cumulative
0.65200	1525	3530803
0.65400	1531	3532334
0.65600	1589	3533923
0.65800	1519	3535442
0.66000	1556	3536998
0.66200	1579	3538577
0.66400	1461	3540038
0.66600	1474	3541512
0.66800	1489	3543001
0.67000	1514	3544515
0.67200	1438	3545953
0.67400	1452	3547405
0.67600	1534	3548939
0.67800	1458	3550397
0.68000	1436	3551833
0.68200	1515	3553348
0.68400	1431	3554779
0.68600	1383	3556162
0.68800	1500	3557662
0.69000	1498	3559160
0.69200	1475	3560635
0.69400	1423	3562058
0.69600	1468	3563526
0.69800	1395	3564921
0.70000	1466	3566387
0.70200	1428	3567815
0.70400	1374	3569189
0.70600	1436	3570625
0.70800	1478	3572103
0.71000	1462	3573565
0.71200	1394	3574959
0.71400	1421	3576380
0.71600	1425	3577805
0.71800	1401	3579206
0.72000	1335	3580541
0.72200	1405	3581946
0.72400	1386	3583332
0.72600	1409	3584741
0.72800	1409	3586150
0.73000	1420	3587570
0.73200	1446	3589016
0.73400	1380	3590396
0.73600	1376	3591772
0.73800	1402	3593174
0.74000	1365	3594539
0.74200	1340	3595879
0.74400	1401	3597280
0.74600	1369	3598649
0.74800	1399	3600048
0.75000	1307	3601355
0.75200	1391	3602746
0.75400	1323	3604069
0.75600	1367	3605436
0.75800	1431	3606867
0.76000	1374	3608241
0.76200	1348	3609589
0.76400	1339	3610928
0.76600	1328	3612256
0.76800	1312	3613568
0.77000	1288	3614856
0.77200	1324	3616180
0.77400	1327	3617507
0.77600	1339	3618846
0.77800	1259	3620105
0.78000	1323	3621428
0.78200	1274	3622702
0.78400	1286	3623988
0.78600	1294	3625282
0.78800	1280	3626562
0.79000	1324	3627886
0.79200	1294	3629180
0.79400	1272	3630452
0.79600	1325	3631777
0.79800	1290	3633067
0.80000	1244	3634311
0.80200	1296	3635607
0.80400	1240	3636847
0.80600	1340	3638187
0.80800	1266	3639453
0.81000	1276	3640729
0.81200	1286	3642015
0.81400	1312	3643327
0.81600	1237	3644564
0.81800	1254	3645818
0.82000	1331	3647149
0.82200	1256	3648405
0.82400	1231	3649636
0.82600	1265	3650901
0.82800	1241	3652142
0.83000	1307	3653449
0.83200	1208	3654657
0.83400	1172	3655829
0.83600	1222	3657051
0.83800	1216	3658267
0.84000	1273	3659540
0.84200	1208	3660748
0.84400	1219	3661967
0.84600	1204	3663171
0.84800	1222	3664393
0.85000	1264	3665657
0.85200	1189	3666846
0.85400	1196	3668042
0.85600	1232	3669274
0.85800	1232	3670506
0.86000	1183	3671689
0.86200	1218	3672907
0.86400	1213	3674120
0.86600	1115	3675235
0.86800	1259	3676494
0.87000	1191	3677685
0.87200	1239	3678924
0.87400	1170	3680094
0.87600	1191	3681285
0.87800	1136	3682421
0.88000	1186	3683607
0.88200	1195	3684802
0.88400	1145	3685947
0.88600	1174	3687121
0.88800	1131	3688252
0.89000	1156	3689408
0.89200	1170	3690578
0.89400	1060	3691638
0.89600	1126	3692764
0.89800	1163	3693927
0.90000	1140	3695067
0.90200	1154	3696221
0.90400	1068	3697289
0.90600	1123	3698412
0.90800	1107	3699519
0.91000	1096	3700615
0.91200	1136	3701751
0.91400	1136	3702887
0.91600	1173	3704060
0.91800	1136	3705196
0.92000	1093	3706289
0.92200	1144	3707433
0.92400	1106	3708539
0.92600	1126	3709665
0.92800	1170	3710835
0.93000	1135	3711970
0.93200	1090	3713060
0.93400	1130	3714190
0.93600	1135	3715325
0.93800	1102	3716427
0.94000	1104	3717531
0.94200	1118	3718649
0.94400	1079	3719728
0.94600	1087	3720815
0.94800	1071	3721886
0.95000	1054	3722940
0.95200	1045	3723985
0.95400	1116	3725101
0.95600	1057	3726158
0.95800	1092	3727250
0.96000	1017	3728267
0.96200	1074	3729341
0.96400	1115	3730456
0.96600	1040	3731496
0.96800	1040	3732536
0.97000	1041	3733577
0.97200	1009	3734586
0.97400	1062	3735648
0.97600	1084	3736732
0.97800	1082	3737814
0.98000	1079	3738893
0.98200	1049	3739942
0.98400	1009	3740951
0.98600	1067	3742018
0.98800	1075	3743093
0.99000	1019	3744112
0.99200	1091	3745203
0.99400	1090	3746293
