#\delta	Number of cells	Cumulative
-0.15800	4241	1180635
-0.15600	4183	1184818
-0.15400	4062	1188880
-0.15200	4125	1193005
-0.15000	4165	1197170
-0.14800	4210	1201380
-0.14600	4085	1205465
-0.14400	4056	1209521
-0.14200	4203	1213724
-0.14000	4176	1217900
-0.13800	4057	1221957
-0.13600	4028	1225985
-0.13400	4141	1230126
-0.13200	4138	1234264
-0.13000	4019	1238283
-0.12800	4064	1242347
-0.12600	4037	1246384
-0.12400	4227	1250611
-0.12200	4142	1254753
-0.12000	4088	1258841
-0.11800	4156	1262997
-0.11600	4019	1267016
-0.11400	3949	1270965
-0.11200	3850	1274815
-0.11000	4228	1279043
-0.10800	4096	1283139
-0.10600	4037	1287176
-0.10400	4072	1291248
-0.10200	4083	1295331
-0.10000	4133	1299464
-0.09800	4033	1303497
-0.09600	4089	1307586
-0.09400	4065	1311651
-0.09200	3988	1315639
-0.09000	4047	1319686
-0.08800	4110	1323796
-0.08600	4105	1327901
-0.08400	4097	1331998
-0.08200	3901	1335899
-0.08000	4126	1340025
-0.07800	4023	1344048
-0.07600	3941	1347989
-0.07400	4076	1352065
-0.07200	4053	1356118
-0.07000	4004	1360122
-0.06800	4031	1364153
-0.06600	4058	1368211
-0.06400	4023	1372234
-0.06200	4076	1376310
-0.06000	3984	1380294
-0.05800	4002	1384296
-0.05600	3934	1388230
-0.05400	4056	1392286
-0.05200	4023	1396309
-0.05000	4026	1400335
-0.04800	3999	1404334
-0.04600	3887	1408221
-0.04400	4027	1412248
-0.04200	3974	1416222
-0.04000	3979	1420201
-0.03800	4010	1424211
-0.03600	3970	1428181
-0.03400	3855	1432036
-0.03200	3954	1435990
-0.03000	3798	1439788
-0.02800	3855	1443643
-0.02600	3977	1447620
-0.02400	3861	1451481
-0.02200	3943	1455424
-0.02000	4013	1459437
-0.01800	3803	1463240
-0.01600	4004	1467244
-0.01400	3893	1471137
-0.01200	3974	1475111
-0.01000	3943	1479054
-0.00800	3883	1482937
-0.00600	4000	1486937
-0.00400	3969	1490906
-0.00200	3954	1494860
0.00000	3834	1498694
0.00200	3862	1502556
0.00400	3833	1506389
0.00600	3845	1510234
0.00800	3805	1514039
0.01000	3902	1517941
0.01200	3826	1521767
0.01400	3856	1525623
0.01600	3891	1529514
0.01800	3749	1533263
0.02000	3945	1537208
0.02200	3672	1540880
0.02400	3782	1544662
0.02600	3801	1548463
0.02800	3910	1552373
0.03000	3919	1556292
0.03200	3847	1560139
0.03400	3790	1563929
0.03600	3821	1567750
0.03800	3608	1571358
0.04000	3837	1575195
